Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
N/A,2208194082,mental health free,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194081,meditation free,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194080,mindfulness free,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194079,self care free,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194078,focus app,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194077,self help,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194076,meditation app,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194075,anger management,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194074,sleep better,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194073,morning routine,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194072,habit tracker,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194071,overthinking,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194070,procrastination,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194069,self improvement,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194068,stress relief,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194067,anxiety relief,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194066,mental health app,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194065,mindfulness,BROAD,ACTIVE,106.0,2143331128,2145142841
N/A,2208194064,self care,BROAD,ACTIVE,106.0,2143331128,2145142841
