Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
N/A,2205596257,daily reminder app,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596256,personal coach app,BROAD,ACTIVE,150.0,2143222383,2144995826
N/A,2205596255,life coach app,BROAD,ACTIVE,150.0,2143222383,2144995826
N/A,2205596254,accountability app,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596253,stop bad habits,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596252,break bad habits,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596251,intrusive thoughts,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596250,ocd app,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596249,focus app,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596248,gratitude journal,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596247,daily affirmations,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596246,buddhist app,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596245,mindful living,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596244,loneliness app,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596243,quit drinking app,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205596242,anger management,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592941,morning alarm,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592940,wake up app,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592939,sleep better,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592938,insomnia help,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592937,self compassion,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592936,self esteem app,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592935,stop overthinking,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592934,overthinking,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592933,anxiety help,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592932,anxiety relief,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592931,procrastination help,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592930,stop procrastination,BROAD,ACTIVE,120.0,2143222383,2144995826
N/A,2205592929,goal tracker,BROAD,ACTIVE,180.0,2143222383,2144995826
N/A,2205592928,daily planner,BROAD,ACTIVE,180.0,2143222383,2144995826
N/A,2205592927,motivation app,BROAD,ACTIVE,180.0,2143222383,2144995826
N/A,2205592926,productivity app,BROAD,ACTIVE,180.0,2143222383,2144995826
N/A,2205592925,wellness app,BROAD,ACTIVE,180.0,2143222383,2144995826
N/A,2205592924,self care,BROAD,ACTIVE,180.0,2143222383,2144995826
N/A,2205592923,meditation app,BROAD,ACTIVE,180.0,2143222383,2144995826
N/A,2205592922,mindfulness,BROAD,ACTIVE,180.0,2143222383,2144995826
N/A,2205592921,mental health app,BROAD,ACTIVE,180.0,2143222383,2144995826
N/A,2205592920,morning routine app,EXACT,ACTIVE,250.0,2143222383,2144995826
N/A,2205592919,behavior change,EXACT,ACTIVE,250.0,2143222383,2144995826
N/A,2205592918,self improvement app,EXACT,ACTIVE,250.0,2143222383,2144995826
N/A,2205592917,routine tracker,EXACT,ACTIVE,250.0,2143222383,2144995826
N/A,2205592916,daily routine,EXACT,ACTIVE,250.0,2143222383,2144995826
N/A,2205592915,habit app,EXACT,ACTIVE,250.0,2143222383,2144995826
N/A,2205592914,habit tracker,EXACT,ACTIVE,250.0,2143222383,2144995826
